PR URL,PR Title,PR createdAt,PR mergedAt,PR state,stars,fork,collaborators,language
https://github.com/zeke/all-the-public-replicate-models/pull/3,stats!,2023-10-14T05:33:04Z,2023-10-14T05:33:11Z,MERGED,16,False,3,JavaScript
https://github.com/zauberzeug/nicegui/pull/2272,Keep updates and messages in outbox until client is connected,2024-01-01T20:21:16Z,2024-01-05T14:13:56Z,MERGED,8280,False,100,Python
https://github.com/xtdb/xtdb/pull/3021,Add guide for setting up node on AWS using the cloudformation templates,2023-12-04T11:43:59Z,2023-12-05T15:39:32Z,MERGED,2490,False,18,Clojure
https://github.com/xetdata/xet-core/pull/276,Tableau Workbook Summary,2024-02-29T03:49:05Z,2024-03-15T23:36:32Z,MERGED,20,False,14,Rust
https://github.com/whatwg/whatwg.org/pull/427,Add URLPattern logo,2023-10-05T04:42:46Z,2023-10-13T06:05:45Z,MERGED,74,False,39,HTML
https://github.com/whatwg/urlpattern/pull/198,"Use ""inherit left, wildcard right"" behavior in base URL application and constructor string parsing.",2023-10-27T20:40:22Z,2023-11-07T21:53:28Z,MERGED,151,False,14,HTML
https://github.com/whatwg/html-build/pull/291,Output parse errors for the Rust part of the build step,2024-02-09T05:27:35Z,2024-04-25T02:25:25Z,MERGED,61,False,22,HTML
https://github.com/vrodriguezf/deepvats/pull/123,"Fix docker image: separate images, shared paths",2024-02-21T13:33:06Z,2024-02-25T11:59:18Z,MERGED,22,False,7,Jupyter Notebook
https://github.com/unoplatform/workshops/pull/128,fix: add callout for wasm/skia mediaplayer package,2023-11-03T21:26:04Z,2023-11-03T21:37:53Z,MERGED,96,False,39,C#
https://github.com/unoplatform/uno/pull/12428,fix(skia): Fix element not clipped when render transformed,2023-05-26T16:00:08Z,2023-08-08T20:25:32Z,MERGED,8625,False,100,C#
https://github.com/unity-atoms/unity-atoms/pull/448,Fix for #440 - Removed GuiData class,2023-12-20T00:24:17Z,2024-01-07T19:23:25Z,MERGED,1180,False,30,C#
https://github.com/ubiquity/ubiquibot/pull/608,AI: Check for Duplicate Specs,2023-08-11T05:45:32Z,2023-08-27T13:21:45Z,MERGED,16,False,28,TypeScript
https://github.com/ubiquity/devpool-directory/pull/1062,feat: no backlinks,2024-02-15T16:06:55Z,2024-02-18T06:51:01Z,MERGED,18,False,13,TypeScript
https://github.com/torrust/torrust-index-gui/pull/185,E2E test: torrent upload,2023-07-13T17:33:08Z,2023-08-03T10:36:12Z,MERGED,29,False,13,Vue
https://github.com/toptal/picasso/pull/3872,feat(query-builder): move query builder library,2023-09-15T12:40:40Z,2023-10-24T12:01:34Z,MERGED,120,False,100,TypeScript
https://github.com/tisztamo/Junior/pull/63,Preserve directory entries in attention https://chat.openai.com/share…,2023-08-21T11:44:53Z,2023-08-21T11:44:59Z,MERGED,22,False,5,Shell
https://github.com/tisztamo/Junior/pull/61,Fix html encoding in generated prompt https://chat.openai.com/share/2…,2023-08-21T09:23:16Z,2023-08-21T09:23:25Z,MERGED,22,False,5,Shell
https://github.com/tisztamo/Junior/pull/55,Factor out state-clearing to clearState.js,2023-08-17T09:31:58Z,2023-08-17T09:32:04Z,MERGED,22,False,5,Shell
https://github.com/tisztamo/Junior/pull/36,35 clean install gives npm err notarget no matching version found for docsify cli447,2023-08-06T19:40:31Z,2023-08-06T19:41:53Z,MERGED,22,False,5,Shell
https://github.com/tisztamo/Junior/pull/109,Add meta/og tags to docs site https://chat.openai.com/share/a2ac1068-…,2023-09-25T12:16:36Z,2023-09-25T12:16:43Z,MERGED,22,False,5,Shell
https://github.com/tinygrad/tinygrad/pull/1661,Make __getitem__ TINYer,2023-08-24T17:24:19Z,2023-09-03T03:01:01Z,MERGED,25095,False,100,Python
https://github.com/thingsboard/thingsboard.github.io/pull/1323,ThingsBoard Cloud Subscription plans definition. Updated API Limits,2024-01-23T13:36:51Z,2024-02-16T15:10:25Z,MERGED,120,False,100,JavaScript
https://github.com/temporalio/temporal/pull/4558,Make all Go source file names snake case,2023-06-28T19:28:21Z,2023-07-03T18:23:56Z,MERGED,10651,False,100,Go
https://github.com/telosnetwork/open-block-explorer/pull/712,Adding permission waits,2023-06-08T13:40:30Z,2023-06-15T15:42:34Z,MERGED,27,False,20,Vue
https://github.com/sympy/sympy/pull/26098,Parse LaTeX matrices and literal complex numbers,2024-01-19T13:01:40Z,2024-07-03T17:41:06Z,MERGED,12596,False,100,Python
https://github.com/swoosh/swoosh/pull/870,add Swoosh.Adapters.Mua,2024-02-27T11:08:04Z,2024-02-27T22:32:01Z,MERGED,1438,False,100,Elixir
https://github.com/swarmion/swarmion/pull/678,chore: add release authoring documentation,2023-06-02T14:54:19Z,2023-06-16T20:28:16Z,MERGED,139,False,26,TypeScript
https://github.com/sveltejs/learn.svelte.dev/pull/522,add aria-role:none to get rid of warning,2023-10-26T14:23:27Z,2023-12-15T20:38:55Z,MERGED,483,False,100,Svelte
https://github.com/supabase/supabase/pull/21827,docs: Adding JS example of multiple foreign keys to the same table,2024-03-07T00:28:09Z,2024-03-07T21:21:31Z,MERGED,68821,False,100,TypeScript
https://github.com/starknet-id/app.starknet.id/pull/766,feat: add ens integration,2024-05-09T09:50:19Z,2024-05-17T08:11:11Z,MERGED,48,False,10,TypeScript
https://github.com/ssvlabs/ssv-web/pull/277,"IO1-3631: renamed to gasLimit, fixed bug with incorrect gas",2023-06-22T15:23:24Z,2023-06-27T14:55:46Z,MERGED,22,False,21,TypeScript
https://github.com/snapshot-labs/snapshot/pull/3937,feat(flagged spaces): conceal flagged spaces similar to flagged proposals,2023-05-27T20:58:03Z,2023-05-29T09:37:56Z,MERGED,9219,False,100,Vue
https://github.com/skypilot-org/skypilot/pull/3081,"[Core] Make multi-node job fail fast when one fails, and output segment fault",2024-02-04T23:04:15Z,2024-02-09T08:20:58Z,MERGED,6224,False,78,Python
https://github.com/skrub-data/skrub/pull/581,Merge `underfilled_job_title` with `employee_position_title` in `employee_salaries`,2023-06-08T15:49:41Z,2023-08-03T20:32:44Z,MERGED,1052,False,44,Python
https://github.com/sindresorhus/type-fest/pull/701,Use Pick type to define Class prototype.,2023-10-10T04:46:34Z,2023-11-13T08:20:55Z,MERGED,13619,False,100,TypeScript
https://github.com/simonw/llm/pull/65,register_models() plugin hook,2023-06-26T14:44:40Z,2023-07-10T15:39:01Z,MERGED,3489,False,19,Python
https://github.com/simonw/llm/pull/400,Upgrade to run against OpenAI >= 1.0,2024-01-26T02:18:59Z,2024-01-26T06:00:44Z,MERGED,3489,False,19,Python
https://github.com/sign-language-processing/sign-language-processing.github.io/pull/38,"Adding ""Querying A Sign Language Dictionary with Videos Using Dense Vector Search"" and add SL Retrieval section",2024-05-16T21:37:55Z,2024-05-22T21:46:11Z,MERGED,100,False,5,TeX
https://github.com/sign-language-processing/sign-language-processing.github.io/pull/37,"adding ""Conditional Variational Autoencoder for Sign Language Translation with Cross-Modal Alignment""",2024-05-13T20:55:25Z,2024-05-16T18:19:23Z,MERGED,100,False,5,TeX
https://github.com/shakacode/shakapacker/pull/430,feat!: always use `package_json` for managing node packages,2024-03-08T19:20:59Z,2024-03-31T05:04:40Z,MERGED,406,False,100,Ruby
https://github.com/shakacode/shakapacker/pull/364,feat: make compilation stale on asset host change,2023-10-04T12:32:47Z,2023-12-01T06:03:57Z,MERGED,406,False,100,Ruby
https://github.com/shakacode/control-plane-flow/pull/114,Show info header only on first command,2023-11-20T17:21:04Z,2023-12-01T20:44:33Z,MERGED,40,False,6,Ruby
https://github.com/seamapi/seam-cli/pull/68,Support for adding array parameters e.g. access_codes/list editing parameter access_code_ids,2024-01-10T18:07:04Z,2024-01-11T18:48:58Z,MERGED,85,False,14,TypeScript
https://github.com/sashabaranov/go-openai/pull/377,"feat: allow more input types to functions, fix tests",2023-06-15T15:49:34Z,2023-06-21T12:58:28Z,MERGED,8641,False,100,Go
https://github.com/sablier-labs/v2-periphery/pull/191,build: bump core,2023-09-28T10:14:50Z,2023-09-28T18:37:28Z,MERGED,21,False,5,Solidity
https://github.com/sablier-labs/v2-core/pull/734,Install dependencies with Node.js instead of git modules,2023-12-04T13:51:36Z,2023-12-15T12:34:27Z,MERGED,291,False,11,Solidity
https://github.com/sCrypt-Inc/scryptTS-docs/pull/209,Update webhook programmatic registration,2023-09-25T13:33:44Z,2023-09-29T17:46:05Z,MERGED,10,False,13,MDX
https://github.com/rust-lang/rfcs/pull/3463,"Add ""crates.io Policy Update"" RFC",2023-07-24T13:37:52Z,2023-11-07T09:32:15Z,MERGED,5793,False,100,Markdown
https://github.com/robotology/icub-models-generator/pull/252,Add model for iCubGenova11,2024-01-09T13:14:50Z,2024-01-11T09:14:15Z,MERGED,14,False,26,C++
https://github.com/roboflow/supervision/pull/177,Add ConfusionMatrix to EvaluationAPI,2023-07-04T19:50:59Z,2023-07-21T11:31:26Z,MERGED,17183,False,77,Python
https://github.com/rhysmorgan134/node-CarPlay/pull/70,Feature: optimise example video,2023-10-06T12:09:50Z,2023-10-10T07:09:00Z,MERGED,131,False,10,TypeScript
https://github.com/reworkd/AgentGPT/pull/897,🎉 Workflows,2023-06-29T04:15:46Z,2023-07-03T22:56:43Z,MERGED,30640,False,70,TypeScript
https://github.com/raspiblitz/raspiblitz/pull/4312,trigger safe shutdown with rpi5 power button,2023-12-10T07:06:04Z,2023-12-13T11:11:13Z,MERGED,2415,False,100,Python
https://github.com/rapidsai/cuspatial/pull/1295,Fix broken hausdorff test,2023-11-15T02:23:08Z,2023-11-16T15:21:25Z,MERGED,580,False,58,Jupyter Notebook
https://github.com/rancher-sandbox/rancher-desktop/pull/5602,"Changes no row text for containers, images and port forwarding",2023-09-28T00:59:14Z,2023-10-03T20:42:45Z,MERGED,5710,False,60,TypeScript
https://github.com/radix-vue/radix-vue/pull/100,dev: refactor playground to sort components alphabetically.,2023-06-28T16:24:43Z,2023-06-28T16:24:58Z,MERGED,2985,False,100,Vue
https://github.com/pyspark-ai/pyspark-ai/pull/157,LRU Vector Store Policy,2023-10-08T14:32:14Z,2023-10-11T17:43:30Z,MERGED,828,False,16,Python
https://github.com/pyspark-ai/pyspark-ai/pull/1,Add llm_verify function,2023-06-13T23:40:26Z,2023-06-16T19:29:46Z,MERGED,828,False,16,Python
https://github.com/pyg-team/pytorch-frame/pull/281,Clean up `col_to_pattern` logic,2023-12-08T03:43:26Z,2023-12-08T07:38:22Z,MERGED,479,False,23,Python
https://github.com/pwncollege/dojo/pull/219,WIP: Initial implementation of daily backups to cloud storage. ,2023-09-14T05:56:49Z,2024-04-01T04:52:47Z,MERGED,264,False,22,Python
https://github.com/primer-io/primer-sdk-ios/pull/816,chore: Added consumption of jwt token in appetize links,2024-03-08T16:00:03Z,2024-03-14T09:10:55Z,MERGED,12,False,20,Swift
https://github.com/primer-io/primer-sdk-ios/pull/723,chore: Add card validation logic for remote validation and co-badged cards,2023-11-02T16:29:39Z,2023-11-07T13:02:53Z,MERGED,12,False,20,Swift
https://github.com/pollen-robotics/rustypot/pull/50,Adding xm device,2024-04-30T09:42:52Z,2024-05-03T11:28:22Z,MERGED,16,False,8,Rust
https://github.com/pokt-network/poktroll/pull/338,[Service] NIT followups to `AddService` in #316,2024-01-19T16:29:19Z,2024-01-19T21:41:23Z,MERGED,15,False,9,Go
https://github.com/pokt-network/poktroll/pull/31,[Pkg] feat: add channel observable,2023-10-09T09:00:00Z,2023-10-20T08:55:52Z,MERGED,15,False,9,Go
